accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
2,1,1,1,75,2,1125,4
12,2,5,5,215,2,1825,34
2,1,1,1,96,2,1125,54
6,2,2,3,165,3,1125,1
7,2,3,4,239,3,180,30
2,1,1,1,72,4,1125,24
2,1,1,1,60,1,5,23
2,1,1,2,90,1,60,33
4,1,1,1,128,1,30,85
4,1,2,2,150,1,1125,2
2,1,1,1,75,1,1125,0
5,2,2,3,350,2,1125,14
4,1,2,2,195,1,1125,6
1,1,0,1,95,5,1125,0
6,3,3,3,350,3,365,20
2,0,1,1,85,3,1125,1
3,1,1,1,139,3,1125,3
6,3,3,3,650,3,1125,0
8,3,3,3,550,3,1125,11
2,1,1,2,115,5,1125,0
6,3.5,4,4,500,1,5,0
2,1,1,1,155,3,1125,10
2,1,0,1,178,1,1125,4
2,1,1,1,155,3,1125,5
3,1,1,2,155,3,365,27
5,1,1,1,99,1,365,10
2,1,0,1,165,3,1125,1
5,2.5,2,4,375,2,1125,2
4,1,1,2,175,1,1125,7
1,1,1,1,60,10,1125,5
2,1,0,1,120,1,1125,23
2,1,1,1,300,2,1125,7
2,1.5,1,1,130,1,1125,12
2,1,1,1,300,2,1125,1
2,1,1,1,100,3,14,0
2,1,0,1,120,1,1125,0
3,1,2,2,325,3,30,17
2,1,1,1,180,1,1125,2
4,3.5,4,4,350,1,1125,0
2,1,1,1,70,1,27,4
2,1,1,1,85,1,1125,6
3,1.5,2,2,225,2,30,0
6,2,3,3,474,7,29,1
4,1,1,2,110,1,1125,1
2,1,1,1,109,1,7,3
4,1.5,2,2,300,4,1125,2
6,3.5,3,4,775,4,93,1
4,1,1,2,140,2,7,11
6,3.5,3,3,595,7,1125,4
5,1,2,5,249,1,30,7
2,1,1,1,110,1,1125,0
1,1,1,1,60,25,1125,1
4,1,2,3,201,2,90,11
1,1,0,1,95,5,1125,0
7,2.5,4,4,975,2,1125,11
2,1,1,1,179,2,1125,6
4,1.5,0,2,375,2,365,3
1,1.5,1,1,125,3,21,10
2,1,0,1,120,2,1125,8
4,1,1,2,200,2,1125,11
4,1,1,2,129,2,90,7
6,1.5,2,3,225,3,90,4
2,1,0,1,185,1,1125,4
4,1,2,3,299,3,365,4
1,1,1,1,65,7,1125,21
4,2,3,3,600,2,1125,0
4,1.5,2,2,375,1,1125,0
2,1,0,1,122,2,1125,5
3,1,1,1,300,3,1125,0
2,1,1,1,100,2,90,11
6,3.5,3,4,569,7,1125,10
3,1,1,1,124,10,365,13
2,1,1,1,150,4,1125,2
3,1,1,1,175,1,5,63
3,1,1,1,105,2,1125,1
4,1,2,1,220,4,1125,17
2,1,1,1,78,1,27,7
4,1.5,1,2,198,1,1125,14
1,1,1,1,110,7,1125,0
3,1,1,2,195,2,1125,9
6,2,3,3,249,2,20,3
5,1,1,2,161,1,1125,5
2,1.5,1,1,135,2,1125,2
2,2,1,1,185,1,1125,15
3,1,1,1,104,1,1125,10
1,1,1,1,75,3,120,7
3,1,1,2,139,3,300,16
6,1.5,2,2,350,2,1125,29
3,1.5,2,2,239,1,1125,0
5,2.5,2,3,450,2,1125,2
2,1,1,1,129,3,1125,2
2,1,2,2,100,1,1125,12
3,2.5,3,3,200,1,1125,0
2,1,1,1,130,3,1125,4
2,1,1,2,179,3,29,25
4,1.5,3,3,450,1,1125,0
6,3,2,4,475,3,1125,3
1,1,0,1,95,5,1125,0
1,1,0,1,95,5,1125,0
4,2,2,2,450,3,1125,0
2,1,1,1,90,3,1125,2
2,1,1,1,170,3,1125,12
2,1,1,1,120,2,1125,10
5,2,2,3,415,1,1125,1
3,1,1,1,175,2,1125,3
4,1.5,2,3,400,3,1125,7
1,1,1,1,65,3,120,18
2,1,1,1,65,6,1125,6
5,2,2,3,515,2,1125,0
4,1,1,2,135,2,200,36
2,1,1,1,120,2,1125,2
2,1.5,1,1,180,1,1125,0
10,3,3,5,500,3,999,11
2,1,1,1,189,1,30,2
2,1,1,1,118,5,24,0
5,1,2,2,439,2,8,11
6,1.5,1,2,220,1,1125,1
6,1,2,2,300,2,1125,32
2,1,1,1,165,1,1125,2
1,1,1,1,90,3,27,8
2,1,1,1,185,2,1125,1
2,1,0,1,125,1,1125,5
4,1,1,1,120,2,1125,0
3,1,1,1,100,2,180,24
2,1,1,1,110,2,1125,4
2,2.5,1,2,110,7,365,6
2,1,,1,135,4,365,28
3,1,1,1,220,1,1125,3
2,1,1,1,75,2,1125,0
2,1,1,1,112,1,1125,23
1,1,1,1,40,4,1125,0
4,1,2,2,250,1,4,2
2,1,1,1,150,2,1125,10
2,1,0,1,96,1,365,2
2,1,0,1,113,7,1125,2
4,1,1,1,149,4,365,19
3,1,1,1,125,1,1125,3
2,1,1,1,139,2,365,59
4,1,1,2,149,3,1125,0
2,1,0,1,179,20,1125,55
2,1,1,1,120,1,1125,0
2,1,1,1,120,1,1125,6
2,1,1,1,135,10,367,67
3,1,1,1,99,2,1125,3
6,2,2,2,220,2,30,50
3,1,0,1,150,2,1125,1
2,1,1,1,120,2,1125,0
6,4,1,4,36,2,14,2
2,1.5,1,1,150,2,120,68
4,1,2,2,172,2,365,20
2,1,1,1,70,1,1125,0
2,1,1,1,99,3,1125,2
4,1,2,2,127,2,1125,0
2,1,1,1,165,1,29,19
2,,1,1,215,3,365,93
2,1.5,1,1,269,4,730,0
3,1,1,1,119,1,4,11
4,1,2,2,150,2,1125,0
5,1,1,2,145,4,1000,74
4,1,1,2,110,7,1125,0
2,1,1,1,88,1,1125,0
2,1,1,1,74,1,1125,2
4,1,1,2,99,2,1125,1
3,1,1,1,111,1,1125,18
1,1,1,1,132,5,1125,0
3,1,1,2,175,1,1125,19
3,1,1,1,129,2,1125,30
3,1,1,1,110,2,1125,16
2,1,0,1,110,2,31,36
3,1,1,1,95,2,100,15
2,1,1,1,95,1,1125,2
6,1,2,4,199,1,1125,0
2,1,1,1,149,2,365,0
2,1,1,1,203,2,1125,12
2,1,0,1,200,1,1125,0
2,1,0,1,90,2,1125,19
2,1,1,1,99,7,1125,1
4,1,2,2,240,5,60,22
4,1,1,3,259,3,1125,7
2,1,1,1,100,4,1125,1
4,2,2,2,300,1,1125,32
2,1,1,1,150,1,1125,2
4,1,1,2,119,1,1125,1
2,1,1,1,145,2,1125,5
9,2,3,3,418,3,6,0
4,1,1,2,129,5,1125,2
2,1,1,1,210,2,1125,6
2,1,1,1,299,4,365,0
6,1,2,3,222,1,1125,9
2,2.5,1,1,115,4,1125,3
3,1,1,1,115,2,1125,17
2,1,1,1,99,7,1125,7
2,1,1,1,100,1,1125,0
2,1,1,2,130,4,50,8
2,1,1,1,139,2,1125,7
2,1,1,1,75,1,1125,3
2,1,2,1,99,1,1125,0
2,1,0,1,98,1,1125,0
2,1,0,1,115,3,25,44
2,1,1,1,215,3,7,2
6,2,2,3,179,1,27,0
2,1,1,1,199,1,1125,7
4,1,2,2,140,1,1125,2
11,5,6,6,195,2,180,1
3,1,0,1,115,1,1125,0
2,1.5,1,1,99,1,14,5
4,1.5,1,3,185,1,10,1
6,2,2,2,199,3,1125,0
3,1,1,2,139,3,180,49
6,1,1,3,225,2,1125,6
2,1,0,1,149,1,1125,22
6,4,1,6,36,2,30,7
3,1,1,1,94,4,1125,4
1,1,1,1,169,1,1125,12
4,1,1,2,175,5,1125,1
3,1,1,1,150,5,1125,2
2,1,1,1,180,1,1125,2
2,1,,1,120,2,40,24
2,1,1,1,115,30,180,28
4,2.5,2,2,170,3,120,2
2,1,1,1,100,1,1125,0
6,2,2,2,300,3,1125,10
4,2,2,2,150,3,1125,1
2,1,1,1,85,3,1125,2
2,1,1,1,69,2,1125,2
2,1,0,1,69,1,1125,18
2,1,1,1,75,1,30,0
2,1,1,1,99,2,1125,9
2,1,1,1,149,3,191,30
2,1,1,1,100,2,1125,1
2,1,1,1,130,1,1125,100
2,1,1,1,90,5,180,41
2,1,0,1,149,3,7,12
3,2.5,3,2,299,1,1125,0
2,1,1,1,135,2,7,23
3,1,1,1,150,2,1125,5
6,1,2,4,199,1,1125,0
1,1,1,1,89,3,15,42
4,1,1,2,180,2,1125,1
3,1,2,2,240,1,1125,21
2,1,1,1,95,1,1125,1
4,1,1,1,149,2,365,34
1,1.5,1,1,90,3,30,4
4,1,1,2,149,1,1125,1
1,1.5,1,1,74,3,10,7
5,1,1,2,170,3,1125,6
3,1,1,2,190,2,75,8
2,1,1,1,145,1,1125,0
2,1,1,1,109,1,1125,45
2,1.5,1,1,105,1,1125,5
2,1,0,1,160,2,1125,26
4,1,1,2,219,2,1125,12
1,1.5,1,1,89,1,1125,6
2,1,1,1,120,1,1125,3
6,2.5,1,6,36,2,30,7
2,1,0,1,95,3,30,6
2,1,1,1,120,1,1125,7
2,1,1,1,100,1,1125,10
3,1,1,1,99,3,1125,18
2,1,1,1,100,1,1125,0
3,1.5,1,3,98,1,30,20
3,1,1,2,143,7,1125,10
2,1,1,1,145,3,1125,60
11,3.5,5,5,150,2,180,3
2,1,1,1,120,1,29,11
2,1,1,1,120,1,29,9
2,1,1,1,85,3,1125,24
3,1,1,1,125,2,1125,6
3,1,1,2,142,1,1125,74
6,2.5,3,4,525,1,6,12
2,1,0,1,159,2,14,1
4,1,1,3,170,1,1125,0
4,1,1,2,50,30,60,1
3,1,1,2,246,3,1125,0
1,1.5,1,1,75,2,45,2
2,1,0,1,99,1,30,11
2,1,0,1,90,2,1125,0
6,2,2,3,229,1,27,0
2,1,0,1,149,2,365,14
3,1,1,2,136,1,60,41
2,1,0,1,250,2,3,1
1,1,1,1,100,2,1125,0
2,1,1,1,100,1,1125,0
3,1,0,1,120,2,1125,5
3,1,1,1,175,1,7,31
2,1,1,1,122,2,1125,3
2,1,1,1,177,1,60,4
6,1,2,4,169,1,1125,1
2,1,0,2,85,5,30,31
2,0,1,1,100,1,1125,15
3,1,1,1,200,1,1125,0
2,1,1,1,105,7,450,12
10,2.5,1,5,99,7,365,2
2,1,1,1,100,4,1125,2
6,1,2,4,189,1,1125,2
2,1,1,1,120,1,1125,4
1,0,1,1,95,1,1125,27
6,1,2,2,150,2,5,8
2,1,0,1,175,3,90,3
2,2,1,1,150,3,1125,4
2,1,1,1,160,2,1125,1
2,1,1,1,79,3,15,4
2,1,1,1,85,2,98,14
2,1,0,1,150,1,1125,6
2,1,1,1,90,2,95,3
1,1,1,1,100,1,1125,25
2,1,0,1,150,3,1125,3
4,1,1,1,100,5,32,0
4,1,1,1,215,2,1125,34
1,1,1,1,95,1,5,74
3,1,0,1,130,1,5,0
2,1,,1,125,4,365,36
2,1,0,1,130,1,1125,2
4,1.5,1,1,120,4,365,3
2,1,1,1,105,1,1125,8
3,1,1,3,176,1,1125,20
6,2.5,2,3,495,3,1125,27
3,1,1,1,110,2,7,8
2,1,1,,99,3,1125,0
2,1,,1,135,4,365,47
1,1,1,1,65,1,1125,1
2,1,1,1,110,2,1125,4
1,1,0,1,105,5,31,9
2,1,1,1,119,1,1125,10
2,1,0,1,99,1,1125,0
6,1.5,2,3,225,3,90,18
2,1,1,1,105,1,1125,6
3,1,0,1,140,2,25,1
2,1.5,1,1,125,3,1125,0
4,1,2,2,250,1,1125,1
2,1,1,1,90,1,1125,0
2,1,1,1,70,1,1125,2
4,1,1,2,200,1,1125,4
2,1,1,1,215,2,180,65
3,1,1,1,135,2,30,26
2,1,1,1,120,2,1125,1
2,1,1,1,90,1,1125,8
4,1,1,1,259,4,730,1
2,1,1,1,125,27,1125,5
2,1,1,1,125,2,5,18
2,1,1,1,84,1,1125,3
4,1,1,2,99,1,1125,170
1,2,1,1,100,2,1125,11
3,1,1,1,149,2,1125,46
4,1,1,2,168,1,1125,150
2,1,1,1,99,1,1125,24
2,1,1,1,120,1,1125,0
2,1,0,2,120,1,7,6
2,1,1,1,121,2,1125,1
2,1,0,1,229,1,1125,0
2,1,0,1,85,1,1125,55
3,1,0,1,300,2,1125,14
2,1,0,1,75,1,1125,4
2,1,1,1,177,2,90,0
1,1,1,1,95,2,1125,19
2,1,1,1,125,1,1125,18
4,1.5,1,2,89,3,1125,14
3,1,1,2,175,1,1125,19
2,1,0,1,100,1,1125,4
4,1.5,2,2,150,2,1125,1
2,1,0,1,100,1,1125,1
6,1.5,3,4,300,3,1125,0
1,1,1,1,75,6,60,6
2,1,1,1,89,2,1125,6
2,1,1,1,120,2,1125,1
1,1,0,1,116,1,1125,5
2,1,1,1,125,3,1125,10
4,1,1,2,90,1,30,56
2,1,1,1,129,1,1125,8
4,1,1,2,175,1,1125,48
3,1,1,1,200,1,1125,1
2,1,0,1,97,1,1125,2
3,1,0,2,105,1,1125,0
1,,1,1,40,1,1125,104
2,,1,1,105,1,365,239
2,1,0,1,175,2,4,6
2,1,1,1,95,1,1125,10
4,1,1,2,148,1,1125,94
1,1,1,1,68,1,1125,3
1,1,1,1,79,1,5,2
1,1,1,1,132,5,1125,0
2,1,1,1,140,3,20,57
3,1,1,1,125,2,1125,0
3,1,1,1,107,2,1125,17
3,1,1,1,199,2,1125,16
2,1,1,1,105,1,1125,9
4,1,1,2,159,1,1125,0
3,1,0,2,129,4,365,26
3,1,1,1,168,4,1125,23
6,1,1,2,169,1,30,119
3,1,0,1,100,1,1125,4
1,1,1,1,78,1,1125,1
2,1,1,1,120,6,365,13
2,1,1,1,90,5,23,3
6,1,2,2,200,2,1125,0
2,1,0,1,85,1,60,30
2,1,1,1,85,1,365,127
2,1,0,1,125,3,45,48
3,1,1,1,150,2,1125,6
3,1,1,1,90,1,10,18
2,1,1,1,99,2,180,31
3,1,0,2,139,1,1125,1
3,1,1,1,174,2,1125,25
2,1,1,1,99,3,30,12
4,2,2,2,150,1,1125,0
1,1,0,1,66,3,1125,0
3,1,0,2,84,1,1125,6
2,1,1,1,100,1,1125,4
6,2,2,2,700,1,1125,0
2,1,0,1,110,1,1125,28
2,1,0,1,85,1,1125,42
1,1,1,1,41,1,1125,1
2,1,0,1,109,6,1125,1
5,1,2,2,175,1,2,0
2,1,1,2,80,1,1125,1
3,1,1,1,150,1,1125,9
4,1.5,2,2,299,3,40,0
16,2,1,1,499,1,1125,0
2,1,1,1,100,2,1125,17
3,1,1,2,159,2,365,5
2,1,0,1,175,2,1125,0
1,1,0,1,64,4,1125,0
2,1,1,1,80,1,1125,0
1,0.5,1,1,50,7,20,0
4,2,2,2,200,1,1125,0
4,1,1,1,140,1,10,0
2,1,1,1,145,2,1125,32
1,1,1,1,110,2,1125,1
2,1,1,1,128,1,1125,0
2,1,1,1,215,3,29,3
2,1,0,1,115,2,30,59
2,1,1,1,68,2,30,2
2,1,1,1,129,1,1125,37
2,1,1,1,120,1,1125,11
1,1,1,1,75,14,180,12
3,1,1,1,140,2,1125,36
4,1,1,1,125,1,1125,10
2,1,1,1,99,2,1125,6
4,1,1,2,250,1,1125,21
2,0,1,1,100,1,1125,19
3,1,1,2,209,2,1125,5
4,1,1,1,196,1,1125,19
2,1,1,1,83,3,120,64
1,1.5,1,1,60,2,6,6
1,1,1,1,67,2,1125,29
3,1,0,1,125,2,1125,1
2,1,1,1,95,1,1125,15
6,2.5,3,3,695,3,365,37
2,1,1,1,120,1,1125,1
2,1,1,1,150,6,10,12
2,1,1,1,135,1,1125,18
2,1.5,1,1,126,2,1125,0
3,1,0,1,101,2,1125,0
4,1,1,2,135,4,712,18
2,1,1,1,135,2,1125,0
2,1,1,1,179,1,1125,10
2,1,1,1,220,2,1125,5
2,1,1,1,100,4,1125,0
2,1,1,1,99,2,35,8
2,1,1,1,110,2,1125,0
2,1,1,1,99,2,150,64
2,1,1,1,399,1,1,0
4,1,1,1,115,180,1125,11
2,1,1,1,105,1,1125,5
3,1,1,1,159,3,240,47
2,1,1,1,85,1,60,114
3,1,1,1,140,2,1125,0
3,1,1,1,137,1,1125,5
3,1,1,1,89,2,1125,80
4,1,,1,149,2,365,31
8,5,5,8,1200,1,30,41
2,0,1,1,85,1,60,206
2,1,1,1,140,1,1125,13
2,1,1,1,125,2,1125,44
3,1,1,1,200,3,1125,24
2,1,1,1,99,1,11,15
4,2.5,2,2,170,14,30,0
2,1,1,1,160,1,1125,1
2,1,1,1,210,1,1125,0
2,1,1,1,130,3,10,11
2,1,1,1,99,1,1125,0
3,1,0,1,110,2,1125,3
4,1,1,2,168,1,1125,152
2,1,1,1,98,4,1125,2
2,1,1,1,134,1,1125,69
4,1,1,2,100,2,1125,9
4,2,2,2,199,3,1125,0
3,2,1,2,95,2,30,31
2,1,1,1,98,4,730,53
1,1,1,1,70,1,1125,3
3,1,1,1,130,1,1125,7
4,1,1,2,140,2,365,9
1,1,1,1,69,2,1125,0
2,1,1,1,75,1,8,2
2,1,1,1,175,1,1125,0
4,1,2,2,225,3,730,0
2,1,1,1,145,1,1125,3
2,1,0,1,130,2,1125,20
1,1,1,1,100,2,1125,21
2,1,1,1,195,2,14,0
2,1,0,1,85,1,15,30
6,2.5,2,2,135,2,1125,2
3,1,1,1,70,1,1125,2
2,1,1,1,77,3,365,3
3,1,0,1,100,2,28,1
2,1,1,1,95,2,180,3
2,1,1,1,65,1,1125,31
2,1,0,1,120,2,1125,42
8,1,2,3,250,1,1125,1
1,1,1,1,70,1,1125,15
5,1,2,2,119,3,30,86
2,2.5,1,2,85,2,1125,0
2,1.5,1,1,150,3,1125,24
8,1,2,4,240,1,1125,19
2,1.5,1,1,75,2,45,8
4,1,1,1,99,1,1125,122
5,2,2,3,175,2,1125,9
2,1,1,1,94,1,30,4
2,1.5,1,1,140,2,1125,20
12,2.5,3,4,375,1,1125,4
4,2.5,3,3,160,15,60,0
2,1,1,1,65,1,1125,27
2,1,1,1,100,4,1125,1
3,1,1,2,135,1,1125,42
5,1,1,2,125,3,1125,7
2,1,1,1,135,2,14,1
1,2,1,1,35,5,365,3
2,1,1,1,155,1,1125,0
4,2.5,2,2,175,5,30,0
3,1,1,1,95,1,1125,0
2,1.5,1,1,90,1,1125,0
2,1,1,1,100,2,14,7
4,2,2,2,220,1,1125,4
2,1,1,1,60,1,1125,8
2,1,1,1,135,21,90,1
4,1,0,2,140,1,1125,36
6,2.5,2,3,299,1,1125,3
6,,3,6,199,3,14,2
2,1,1,1,34,1,1125,0
2,1,1,1,95,1,1125,4
2,0,1,1,105,2,14,4
4,1.5,1,1,98,4,1125,2
5,1,1,3,79,2,1126,0
2,1,1,1,78,3,1125,4
2,1,0,1,175,1,1125,3
1,1,1,1,175,1,1125,0
2,1,1,1,80,2,15,31
1,1.5,1,1,65,2,45,3
1,1,1,1,23,7,1125,11
2,1,0,1,175,3,90,0
4,1,1,1,175,2,1125,17
2,0,1,1,75,1,1125,26
2,1,1,1,115,1,90,2
3,1,1,2,125,1,1125,1
2,1,1,1,145,2,28,65
2,2,1,1,98,1,1125,0
4,1,1,1,135,1,12,36
2,1,1,2,89,2,1125,0
2,1,1,1,150,1,15,18
2,1,1,1,90,1,1125,0
4,2,2,2,150,2,1125,21
1,1,1,1,95,2,30,16
2,1.5,1,1,99,1,1125,18
4,1,1,2,130,3,30,37
4,1,1,1,175,3,1125,8
4,1,0,2,155,2,1125,0
2,1,1,1,65,2,1125,8
4,1,1,2,150,3,1125,23
4,2,2,2,225,2,1125,11
4,1,1,1,175,1,1125,0
2,1,1,1,98,3,1125,4
2,1,1,1,40,1,1125,0
2,1,0,1,80,2,31,0
2,1,1,1,105,1,1125,17
8,2.5,3,3,325,2,1125,17
4,1,1,2,88,3,10,11
2,1,0,2,100,3,1125,6
4,2.5,2,3,146,4,366,52
3,1,1,1,109,1,1125,88
5,1,2,2,199,1,1125,102
4,1,2,2,279,5,365,0
2,2,1,1,90,2,1125,39
4,2,2,2,150,3,1125,1
4,1,1,2,120,2,1125,8
5,1,2,2,189,2,200,0
3,1,1,1,120,3,1125,9
4,,1,1,99,20,300,41
6,2,2,2,188,2,1125,3
8,1.5,3,4,300,3,90,24
2,1,0,1,200,2,90,0
6,1,1,2,225,3,90,2
2,1,1,1,50,2,12,3
3,1.5,1,2,109,2,1125,4
2,1,,1,109,2,365,60
5,2.5,2,2,229,2,8,4
16,6,8,13,1200,3,1125,10
14,2,5,7,599,1,1125,0
2,1,1,1,75,1,1125,19
4,1.5,2,2,380,1,1125,7
2,1,1,1,115,1,1125,14
2,1.5,1,1,75,3,60,12
1,2,1,1,32,5,1125,1
1,1.5,1,1,90,2,1125,2
5,2,2,4,380,2,14,10
2,1,1,1,85,1,1125,23
2,1,1,1,110,2,1125,5
2,1.5,1,1,156,3,40,3
2,1,1,1,89,1,1125,1
10,3.5,4,5,500,2,1125,0
6,1.5,2,2,225,2,1125,40
6,1,2,2,200,1,8,43
2,1,0,1,119,1,1125,40
2,1.5,1,1,95,1,1125,4
2,1,1,1,180,3,1125,15
6,2,2,2,175,1,1125,0
4,1.5,2,2,249,3,5,5
6,1.5,2,2,295,3,10,10
4,2,2,1,249,1,1125,1
2,1,1,1,119,2,1125,4
2,1,1,1,98,1,14,7
2,1.5,1,1,90,1,10,11
2,1,1,1,75,1,30,3
5,1.5,3,3,249,2,1125,5
4,,1,1,110,3,180,49
1,2,1,1,108,3,1125,0
4,1,0,2,99,1,1125,39
4,1,1,2,155,1,1125,28
8,2,2,4,329,3,1125,11
2,1,1,2,95,2,1125,11
2,1,1,1,125,2,9,2
4,1,0,2,189,2,1125,0
5,2,2,3,329,1,1125,4
4,1,1,4,99,1,1125,2
7,2.5,3,2,299,2,5,3
4,1,1,4,49,1,1125,11
4,1,1,1,100,3,1125,2
4,1,0,2,125,2,1125,1
3,1.5,1,1,92,1,1125,17
2,1,0,1,165,1,1,11
2,1,1,1,119,2,999,21
2,1,0,1,120,2,1125,2
2,1,0,1,85,1,1125,0
2,1,1,1,79,1,1125,14
4,1,1,2,110,2,60,2
4,1,0,2,142,6,7,0
4,1,1,3,139,1,29,0
2,2,2,2,250,3,10,1
4,1,1,4,49,1,1125,12
2,1,1,1,150,1,1125,2
3,1,1,1,99,2,1125,15
4,1,0,1,95,1,1125,12
5,1.5,1,2,114,1,1125,21
2,1,1,1,80,1,1125,11
2,1,1,1,70,2,1125,5
2,1,1,1,139,2,5,59
2,1,1,1,95,1,1125,0
6,1,1,3,101,2,31,117
4,1,1,1,198,2,10,0
4,1,1,1,80,1,1125,0
4,2,1,1,83,1,1125,41
3,1,1,1,94,1,1125,2
4,1.5,1,1,104,1,1125,36
3,1.5,1,1,69,1,1125,128
1,1,1,1,70,1,3,0
4,1,1,2,279,2,1125,2
5,1,2,2,199,1,1125,17
2,1,1,2,60,1,1125,11
1,1.5,1,1,59,1,1125,0
2,1,1,1,100,2,1125,0
2,1,1,1,75,1,1125,2
8,2.5,3,5,379,2,90,7
2,1,0,1,120,2,7,9
4,1,1,2,169,5,1125,8
1,1.5,1,1,49,1,1100,77
1,0,1,1,69,1,1125,1
2,1,1,1,126,3,20,6
2,1,1,1,120,1,7,22
3,1,1,1,125,2,1125,3
2,1,1,1,110,9,365,31
3,1,0,1,110,2,1125,3
2,1.5,1,1,59,1,1125,3
4,1,1,2,250,1,1125,2
6,1.5,2,2,125,1,1125,0
2,1,1,2,65,1,1125,5
7,2,3,3,245,4,30,0
4,1,1,2,130,2,1125,6
2,1,1,1,125,2,31,0
2,1,0,1,119,1,1125,4
2,1,1,1,90,1,30,5
4,1,1,1,150,1,1125,2
2,1,1,1,100,1,1125,30
4,1,2,2,239,1,1125,2
3,1,0,2,94,1,1125,2
2,1,1,2,55,1,1125,1
3,1,0,1,94,1,1125,0
8,2.5,2,4,275,7,1125,4
7,2,2,3,100,1,1125,1
4,1,1,2,160,2,1125,12
1,1.5,1,1,75,2,1125,7
2,2,1,1,85,10,365,46
1,1,1,1,75,1,1125,56
4,2,2,2,250,2,4,0
1,1.5,1,1,70,1,1125,0
4,2,2,2,228,1,1125,10
4,1,1,2,69,1,1125,38
1,1,1,1,65,1,1125,5
2,1,0,1,130,2,10,35
2,1,1,1,69,3,1125,6
3,1,1,1,102,1,1125,1
2,1,0,1,99,3,29,16
4,1,1,1,88,1,1125,0
2,1,1,1,80,5,120,7
2,1,1,1,89,1,1125,5
4,1,1,1,90,1,1125,1
1,1,1,1,55,1,1125,29
3,1,0,1,70,3,150,27
2,1.5,1,1,75,1,1125,7
3,1,1,2,60,2,1125,0
2,1,1,1,75,2,6,4
4,1,1,1,300,1,4,0
1,1,1,1,60,1,1125,5
4,1,1,2,150,1,1125,1
8,1,2,3,125,4,1125,0
2,1,1,2,50,1,1125,4
9,1,2,4,150,2,365,119
4,2,2,2,1200,1,1125,0
4,1.5,1,2,45,1,1125,8
2,1,1,1,89,3,10,0
2,1,1,1,75,2,4,1
2,1,1,1,65,1,1125,5
2,1,1,1,55,1,15,63
4,1,1,1,67,1,1125,11
3,1,1,1,1000,1,3,0
6,1,1,1,129,1,1125,0
2,1,1,1,55,2,150,19
2,1,1,1,89,1,1125,4
2,1,1,2,75,2,1125,10
5,2.5,3,3,150,1,1125,3
2,1,1,1,500,1,1125,0
3,1,1,1,400,1,1125,0
4,1,1,1,150,1,1125,0
3,1,1,1,67,1,1125,55
10,4,4,3,400,1,1125,0
6,1,2,3,299,3,4,0
2,1,1,1,42,4,1125,15
2,1,1,1,1200,2,4,0
2,1,1,2,89,1,1125,1
4,1,1,2,150,1,1125,5
2,1,1,1,42,1,1125,17
2,1,1,1,85,2,30,15
2,1,1,1,300,3,1125,0
2,1,0,1,100,3,1125,14
6,1,1,3,80,1,330,90
2,1,1,1,125,2,1125,9
2,1,1,1,115,2,25,31
2,1,1,1,84,2,25,8
4,1,1,1,110,1,1125,9
2,1,1,1,75,2,1125,41
2,1.5,1,1,40,1,1125,1
3,1,1,1,88,1,1125,0
2,1,1,1,50,1,1125,4
4,2.5,2,2,120,1,1125,20
4,1,2,2,185,2,1125,7
2,1,1,1,150,1,1125,7
2,1,1,1,57,1,1125,1
4,1,2,2,94,3,1125,0
3,1,1,1,100,1,4,9
3,1,1,1,89,1,1125,3
2,1,1,1,80,1,1125,0
4,1,0,1,85,3,1125,0
3,1,1,1,90,2,31,1
2,1.5,1,1,72,2,30,17
2,1,1,1,65,7,1125,0
1,1,1,1,65,7,1125,6
4,1,1,1,97,2,1125,130
2,2,1,2,55,1,1125,6
2,1,0,1,90,1,1125,0
1,3,1,1,45,4,365,1
2,1,1,1,120,2,1125,0
4,1,1,2,99,2,30,25
1,1,1,1,100,1,5,1
6,1,2,2,150,2,35,15
1,2.5,1,1,32,4,365,1
5,3.5,4,3,140,2,30,21
2,1.5,1,1,59,1,1125,57
2,1,1,1,63,1,7,10
2,1.5,1,1,85,1,30,49
16,8,10,13,1250,3,1125,0
2,1,1,,98,2,7,1
16,3.5,5,5,299,3,365,8
10,2,5,5,520,3,730,6
4,2.5,1,1,72,2,28,45
6,2.5,3,3,200,2,1125,10
3,1.5,1,2,64,3,1125,2
2,1,1,1,55,1,10,0
2,1,1,1,70,1,1125,23
4,1,1,1,85,2,1125,2
3,1,1,1,120,4,50,16
2,1.5,1,1,75,2,1125,0
6,1.5,3,3,150,2,1125,5
3,1,1,1,275,1,15,9
6,3.5,4,3,215,2,1125,1
2,1,1,1,85,2,1125,6
2,1,1,1,90,1,1125,11
2,1,1,1,60,2,1125,10
3,1,1,1,99,1,1125,0
4,1,1,1,89,1,1125,54
6,3.5,3,3,395,3,1125,3
2,1.5,1,1,78,1,1125,10
6,2.5,2,2,180,2,1125,0
2,1.5,1,1,200,1,1125,2
4,1.5,2,2,145,4,11,0
6,2.5,1,2,134,2,30,7
2,1,1,1,75,2,1125,34
3,1,2,2,100,2,10,21
2,1,1,1,95,2,1125,5
2,2.5,1,1,67,2,31,32
11,3,3,6,260,1,365,84
2,1,1,1,75,2,1125,75
2,1,1,1,60,1,30,2
3,1,1,1,65,4,1125,3
4,1,1,2,89,2,1125,18
2,1,1,1,70,1,1125,1
